tweets,label
Acabei de arrumar a casa agora :(,0
"triste demais pela lindsay, mulher nenhuma merece ser agredida :(",0
Nada que me agrade en Cinépolis  :(,0
quero colocar piercing também :(,0
"eu só quero assistir um vídeo no youtube :( 

pros deuses da internet é pedir muito",0
"BOY, EU AINDA TO SEM ACREDITAR NA MORTE DE BELCHIOR :(",0
No me da para nada :( https://t.co/qJhCUEhvM3,0
@DJMinerinhoOFC ta foda amor :(,0
Não tem morango :(,0
"@priganiko Mano, é longe demais socorro :(",0
Chatiadíssimo que não vou conseguir ver #TheLeftovers ao vivo hoje. :(,0
@_PedroHooligan @britneyspears Pois é :( eu achava o rosto dela maravilho,0
"@XandAviao Partilhamos da mesma tristeza, Xand. :(",0
@MarcosMp816 Não to com ele agr kkkkkkkkk :(,0
"@diegostrobelt Ah :(
O que cê quer fazer, bb?",0
Tenho pena do Chris Paul :(,0
o sorriso e o sotaque aaaa :(  #ZFNaHoraDoFaro,0
@porrafefa @goticassi Festa do DI migas!! Mas infelizmente acho que não tem ingresso na hora :(,0
dicas p não passar raiva sempre que vou arrumar o cabelo :(,0
@borges_kelli 9 reais :(,0
@Laari_rr Sdds mil dá escola :( tá fazendo o que de bom dá vida querida!?,0
Queria algm que trocasse ADM ou RT cmg :(,0
Hora da Red Canids (RED) X(DW) Dire Wolves e nada do @StoneDYooDa :( que continua esquentando o banco! #MSI2017,0
Aquele momento que você se apaixona pela sua versão doll mas lembra que é só um desenho :(,0
só pitas é q me dão stalk enfim :( jk,0
@lorena_dias10 Nunca gosto das make dele :(,0
Vontade de apanhar a puta hoje :(,0
Vi uns tweets tão pesados agr que me deixaram mal :(,0
status: participando de um sorteio do álbum da taeyeon porém perdendo as esperanças :(,0
@kindszayn Não desiste de mim :(,0
"Mds, não aguento mais usar essa liga no aparelho! :(",0
todo mundo indo pro role :( e eu vou dormir q amanhã vou trampa :/,0
@lorevinagrete amanhã n têm aula :(,0
queria :( https://t.co/ApFTyP8jAG,0
o meu amor :( https://t.co/8xMEdiV1ur,0
@falecomtony qm ta devendo sou eu n fui na sua despedida desculpa ::::::(,0
